#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	conn
#open	2026-02-11-18-01-54
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	service	duration	orig_bytes	resp_bytes	conn_state	local_orig	local_resp	missed_bytes	history	orig_pkts	orig_ip_bytes	resp_pkts	resp_ip_bytes	tunnel_parents
#types	time	string	addr	port	addr	port	enum	string	interval	count	count	string	bool	bool	count	string	count	count	count	count	set[string]
1770832853.321047	CuYM4K1HHBiAqjSqK1	192.168.56.30	138	192.168.56.255	138	udp	-	-	-	-	S0	T	T	0	D	1	229	0	0	-
1770833280.451974	CdwlVF33KUdKeKwwGg	192.168.56.30	50122	192.168.56.10	8080	tcp	-	0.000392	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833280.701850	CJz5R13b99BK1RCxwg	192.168.56.30	50123	192.168.56.10	8080	tcp	-	0.003828	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833281.016266	CqpS8AjMWLwuOAlv6	192.168.56.30	50124	192.168.56.10	8080	tcp	-	0.001708	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833281.217570	COa6dV3ZdLN3vsZ7tc	192.168.56.30	50123	192.168.56.10	8080	tcp	-	0.000413	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833276.811311	CS52381j6ToyjWJtA8	192.168.56.30	50119	192.168.56.10	8080	tcp	-	0.000268	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833281.542381	C8XwFE3c06XirdlXh3	192.168.56.30	50124	192.168.56.10	8080	tcp	-	0.000416	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833281.731083	C9Rwn4urY8pu3QQU8	192.168.56.30	50123	192.168.56.10	8080	tcp	-	0.003244	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833282.049512	CPysxA22tpC2yfcwUe	192.168.56.30	50124	192.168.56.10	8080	tcp	-	0.000094	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833282.252408	CXcaB42IB5cqFEpYMi	192.168.56.30	50123	192.168.56.10	8080	tcp	-	0.001104	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833282.567298	CyzS9i2TEHgIpcqSp4	192.168.56.30	50124	192.168.56.10	8080	tcp	-	0.002520	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833282.783394	CaFhvG1sn6EajSpg67	192.168.56.30	50125	192.168.56.10	8080	tcp	-	0.000313	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833283.145950	C9DaSs2HZxS7G4TzW4	192.168.56.30	50126	192.168.56.10	8080	tcp	-	0.000387	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833283.309359	C2GIjv4OmGGVOXijJe	192.168.56.30	50125	192.168.56.10	8080	tcp	-	0.001590	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833278.877095	CcZmzm3RzjwiBPQ7Q2	192.168.56.30	50120	192.168.56.10	8080	tcp	-	0.002463	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833283.673103	CDxiS81I7uvrbKiB0l	192.168.56.30	50126	192.168.56.10	8080	tcp	-	0.001833	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833279.293163	COOZyl31hiMG00ZxN3	192.168.56.30	50121	192.168.56.10	8080	tcp	-	0.000669	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833283.828374	CRufnn4vsbNXfRRDf4	192.168.56.30	50125	192.168.56.10	8080	tcp	-	0.000119	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833284.203574	C4b05XlKfYBQgP5Ph	192.168.56.30	50126	192.168.56.10	8080	tcp	-	0.000467	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833284.329226	Cs26fi1ZXFymaxRS4k	192.168.56.30	50125	192.168.56.10	8080	tcp	-	0.004309	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833284.705746	CzlzlG3WfIHbdSLqHe	192.168.56.30	50126	192.168.56.10	8080	tcp	-	0.002495	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833284.906995	COdO3i2Bprm8yai2kk	192.168.56.30	50127	192.168.56.10	8080	tcp	-	0.000570	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833285.228818	Ce9iOA1eDiJ4lKPMod	192.168.56.30	50128	192.168.56.10	8080	tcp	-	0.000318	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833285.419666	CWUOjj3tzERLp6BcEc	192.168.56.30	50127	192.168.56.10	8080	tcp	-	0.001556	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833280.968115	CPLYnv1oNIELjKjU73	192.168.56.30	50122	192.168.56.10	8080	tcp	-	0.000304	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833285.730790	C6VwPc18Kiwb4a7dxb	192.168.56.30	50128	192.168.56.10	8080	tcp	-	0.000330	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833285.930528	CECn6yypSh4kq5hu9	192.168.56.30	50127	192.168.56.10	8080	tcp	-	0.000431	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833286.262730	CgE2N41QGGsbgB8Jrj	192.168.56.30	50128	192.168.56.10	8080	tcp	-	0.000459	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833286.442753	Cq8gUp2L1n0Amwqg52	192.168.56.30	50127	192.168.56.10	8080	tcp	-	0.000779	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833286.778286	CMjmjS3JaRdfefM1R1	192.168.56.30	50128	192.168.56.10	8080	tcp	-	0.000697	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833287.005443	CyBHrd4AKKv2tSr8nh	192.168.56.30	50129	192.168.56.10	8080	tcp	-	0.000987	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833282.777189	Cq5rW53Hwz9BwS7Ke7	192.168.56.30	50123	192.168.56.10	8080	tcp	-	0.003911	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833287.315637	CSLLX94mzxvkdg1o07	192.168.56.30	50130	192.168.56.10	8080	tcp	-	0.000268	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833287.514661	CTaLcO1mTRHbKQcUn2	192.168.56.30	50129	192.168.56.10	8080	tcp	-	0.000944	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833283.073732	CiO4Q52MN98BRWjVyc	192.168.56.30	50124	192.168.56.10	8080	tcp	-	0.000667	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833287.823628	CrAIko2RVZ0meY3gc9	192.168.56.30	50130	192.168.56.10	8080	tcp	-	0.000068	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833288.057687	CzIEQi2t4ghmvvkN8d	192.168.56.30	50129	192.168.56.10	8080	tcp	-	0.000480	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833288.337562	CkmbsC21X10bV1J7Gh	192.168.56.30	50130	192.168.56.10	8080	tcp	-	0.001096	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833288.561288	CRKc1B2FDBd6u3o6Ff	192.168.56.30	50129	192.168.56.10	8080	tcp	-	0.001378	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833288.839093	CtfYTk2IriP2snp0Wh	192.168.56.30	50130	192.168.56.10	8080	tcp	-	0.000472	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833289.120783	ComCbF3g6R21UMNe2i	192.168.56.30	50131	192.168.56.10	8080	tcp	-	0.000606	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833284.873638	CImX713E4Khv2C5oVi	192.168.56.30	50125	192.168.56.10	8080	tcp	-	0.000669	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833289.384637	CFpwgw14et93Jzh8vh	192.168.56.30	50132	192.168.56.10	8080	tcp	-	0.000551	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833289.641885	CL2xf78ROtoxrtvw3	192.168.56.30	50131	192.168.56.10	8080	tcp	-	0.002769	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833285.227245	CQM4Xj37NeELPNcTej	192.168.56.30	50126	192.168.56.10	8080	tcp	-	0.000057	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833289.899011	C9TlSK1zHIRnGpacjf	192.168.56.30	50132	192.168.56.10	8080	tcp	-	0.000412	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833290.165140	Cco8ph3XF3uOD25sJi	192.168.56.30	50131	192.168.56.10	8080	tcp	-	0.001344	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833290.431233	CwY8yvV1AUTZjk9B3	192.168.56.30	50132	192.168.56.10	8080	tcp	-	0.001566	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833290.697222	CVzXwv1gMSCfC7UAe8	192.168.56.30	50131	192.168.56.10	8080	tcp	-	0.000318	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833290.969494	CufP0CYtkAkUJjfXl	192.168.56.30	50132	192.168.56.10	8080	tcp	-	0.000689	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833291.220162	CpvYqe46REPcO9VcJa	192.168.56.30	50133	192.168.56.10	8080	tcp	-	0.002034	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833286.961111	CZuCfB4uCrKzycCKEc	192.168.56.30	50127	192.168.56.10	8080	tcp	-	0.000372	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833291.527775	CjtvjV2gbXDue9L7Wf	192.168.56.30	50134	192.168.56.10	8080	tcp	-	0.000896	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833291.746535	CsYiKi1q0vsSipZCrf	192.168.56.30	50133	192.168.56.10	8080	tcp	-	0.000366	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833287.289805	CdAClK1t2TvGk3OQJg	192.168.56.30	50128	192.168.56.10	8080	tcp	-	0.000579	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833292.043138	CNSwLv3Rypal5lm4P4	192.168.56.30	50134	192.168.56.10	8080	tcp	-	0.000742	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833292.252969	CyBzpk4JZbk7HCDhU4	192.168.56.30	50133	192.168.56.10	8080	tcp	-	0.004971	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833292.570732	C5FsyA2vd73hw6EVXg	192.168.56.30	50134	192.168.56.10	8080	tcp	-	0.000361	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833292.766428	CzcRJm1DUjG0GwYgV9	192.168.56.30	50133	192.168.56.10	8080	tcp	-	0.000042	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833293.106611	CocmCk19GC0Y4K1Er	192.168.56.30	50134	192.168.56.10	8080	tcp	-	0.000491	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833293.331738	CsoKnN2a5Jc63h7f34	192.168.56.30	50136	192.168.56.10	8080	tcp	-	0.000488	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833289.073022	CbJaf5OvITFrPE5q6	192.168.56.30	50129	192.168.56.10	8080	tcp	-	0.002100	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833293.610410	CL6C0GEgl6wv5ZuXg	192.168.56.30	50137	192.168.56.10	8080	tcp	-	0.000535	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833289.356775	CiwLpe4GikyVYWMJF9	192.168.56.30	50130	192.168.56.10	8080	tcp	-	0.000516	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833293.872573	C14HTc3S5Fy9dzVNfi	192.168.56.30	50136	192.168.56.10	8080	tcp	-	0.000658	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833294.135227	CoIJX640oLlDxVetIl	192.168.56.30	50137	192.168.56.10	8080	tcp	-	0.005861	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833294.387699	CxFGix4CBzD7niPeU7	192.168.56.30	50136	192.168.56.10	8080	tcp	-	0.001314	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833294.648315	CJLTj73I9Gm7lBwgH5	192.168.56.30	50137	192.168.56.10	8080	tcp	-	0.001440	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833294.896652	CaFPXW29BcWLWMQuMk	192.168.56.30	50136	192.168.56.10	8080	tcp	-	0.005381	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833295.158340	CBsYjd4n4NEkhN7dod	192.168.56.30	50137	192.168.56.10	8080	tcp	-	0.000275	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833295.458310	CQrtma1lNypdz1QZKc	192.168.56.30	50138	192.168.56.10	8080	tcp	-	0.000662	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833291.218353	Cji8QN7MQfbBdv7Og	192.168.56.30	50131	192.168.56.10	8080	tcp	-	0.000020	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833295.720076	Cles7M1mbT4a5FLWL8	192.168.56.30	50139	192.168.56.10	8080	tcp	-	0.003169	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833291.492528	Cp8Lzk4okfUhvj8LTk	192.168.56.30	50132	192.168.56.10	8080	tcp	-	0.000257	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833295.999355	C7gBTA4PMcmrWE8S13	192.168.56.30	50138	192.168.56.10	8080	tcp	-	0.002095	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833296.238745	Clj7J34ZJAPTsEGDWb	192.168.56.30	50139	192.168.56.10	8080	tcp	-	0.000344	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833296.539197	Cb26201ytrrs550gX2	192.168.56.30	50138	192.168.56.10	8080	tcp	-	0.000187	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833296.751943	CJfchP1bBW527sPlB5	192.168.56.30	50139	192.168.56.10	8080	tcp	-	0.000558	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833297.049536	CUkrxo1G5ikxn3iKUl	192.168.56.30	50138	192.168.56.10	8080	tcp	-	0.002990	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833297.262136	CkkPXH2xUtwRbnOFqa	192.168.56.30	50139	192.168.56.10	8080	tcp	-	0.000422	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833297.594031	CsYOOwjQHwuWkSmf4	192.168.56.30	50140	192.168.56.10	8080	tcp	-	0.000298	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833293.296874	C5W2y62XDWNR31Lx7j	192.168.56.30	50133	192.168.56.10	8080	tcp	-	0.000259	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833297.801888	CG2flYKMaFoi0wUP2	192.168.56.30	50141	192.168.56.10	8080	tcp	-	0.001480	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833293.607856	CMc2mz2r6YXVsH1Rhk	192.168.56.30	50134	192.168.56.10	8080	tcp	-	0.000460	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833298.111091	CG0vKPy4A4z7MqgEf	192.168.56.30	50140	192.168.56.10	8080	tcp	-	0.002902	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833298.334374	CwoQb73E3Iyis6BJZk	192.168.56.30	50141	192.168.56.10	8080	tcp	-	0.000370	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833298.625577	CwawtN2ooMYTsluwsg	192.168.56.30	50140	192.168.56.10	8080	tcp	-	0.001649	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833298.897979	ChZll2Q5bhYYIGCP	192.168.56.30	50141	192.168.56.10	8080	tcp	-	0.003278	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833299.187901	C1aP733nibUTqJDD4e	192.168.56.30	50140	192.168.56.10	8080	tcp	-	0.002922	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833299.407174	CzVKzG1kuA79mGvtpd	192.168.56.30	50141	192.168.56.10	8080	tcp	-	0.000319	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833299.777294	C6nCyh14mSBckXfxzd	192.168.56.30	50143	192.168.56.10	8080	tcp	-	0.000614	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833295.404889	CP0sAz4kVkLHy5yd8	192.168.56.30	50136	192.168.56.10	8080	tcp	-	0.000471	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833299.961011	CHGbcv3mOOlkRvDMee	192.168.56.30	50144	192.168.56.10	8080	tcp	-	0.000371	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833295.684875	Cp9uCI1TIXvpfDoAu7	192.168.56.30	50137	192.168.56.10	8080	tcp	-	0.004864	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833300.279809	CfOew946iIbWUvrEa5	192.168.56.30	50143	192.168.56.10	8080	tcp	-	0.000276	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833300.468003	Coe8l03S1GTBxhYfB1	192.168.56.30	50144	192.168.56.10	8080	tcp	-	0.001703	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833300.793138	CGHcrd4UZ8oF6KHgIf	192.168.56.30	50143	192.168.56.10	8080	tcp	-	0.000495	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833301.043095	CVw6LQBPaBeL8uwr9	192.168.56.30	50144	192.168.56.10	8080	tcp	-	0.000064	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833301.295952	CHkWdEQ4EHwDIJbud	192.168.56.30	50143	192.168.56.10	8080	tcp	-	0.001773	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833301.546893	CLSDKYZcSeXJcKyG9	192.168.56.30	50144	192.168.56.10	8080	tcp	-	0.000634	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833301.818304	C3SGvH25x8C50RFgNa	192.168.56.30	50145	192.168.56.10	8080	tcp	-	0.000129	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833297.557124	CJJ4o84I0YhpCqzyng	192.168.56.30	50138	192.168.56.10	8080	tcp	-	0.000582	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833302.134580	C9ZMJE4mkXWi8imjT2	192.168.56.30	50146	192.168.56.10	8080	tcp	-	0.000379	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833297.767893	CvVuEt4GrHcmu0NlP	192.168.56.30	50139	192.168.56.10	8080	tcp	-	0.000652	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833302.325689	CaTXqZQmrKI4FsFz4	192.168.56.30	50145	192.168.56.10	8080	tcp	-	0.001148	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833302.637091	Cgsdho4psZ63vYCl6l	192.168.56.30	50146	192.168.56.10	8080	tcp	-	0.000215	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833302.829514	CRrcqU2Tl9xEeeOLQ7	192.168.56.30	50145	192.168.56.10	8080	tcp	-	0.000192	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833303.143110	COWnXa4xaTDUrKqRrh	192.168.56.30	50146	192.168.56.10	8080	tcp	-	0.000410	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833303.341619	CYvG4e11fecdorAuVh	192.168.56.30	50145	192.168.56.10	8080	tcp	-	0.000352	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833303.645659	CaBiEa14c53WN2nEIc	192.168.56.30	50146	192.168.56.10	8080	tcp	-	0.000659	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833303.892944	ClDkk740QhpwH8r0ri	192.168.56.30	50148	192.168.56.10	8080	tcp	-	0.000511	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833304.170131	CWVoAh3BtAwfVxAmM1	192.168.56.30	50149	192.168.56.10	8080	tcp	-	0.000740	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833299.703998	CiXypa3od3TOB5LWt6	192.168.56.30	50140	192.168.56.10	8080	tcp	-	0.000434	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833304.403754	CUPy1q4XS57Ax7gxl	192.168.56.30	50148	192.168.56.10	8080	tcp	-	0.000321	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833299.925197	Cxx5aq4VYmPnjiFceg	192.168.56.30	50141	192.168.56.10	8080	tcp	-	0.000434	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833304.670919	C6mi0319zprskrYuUi	192.168.56.30	50149	192.168.56.10	8080	tcp	-	0.001827	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833304.919350	CQpFtQ3YOrb1bAS8e7	192.168.56.30	50148	192.168.56.10	8080	tcp	-	0.000665	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833305.187910	CsWOo14WplMuvwZv1c	192.168.56.30	50149	192.168.56.10	8080	tcp	-	0.000620	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833305.432578	C9KO8CyVsnA9dVHn8	192.168.56.30	50148	192.168.56.10	8080	tcp	-	0.000485	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833305.691625	CC00u2YJ7wAtFLrbb	192.168.56.30	50149	192.168.56.10	8080	tcp	-	0.001024	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833305.972986	Cdyeyn1lKmkauYT4U8	192.168.56.30	50150	192.168.56.10	8080	tcp	-	0.000225	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833306.223116	CZjz1HVW0kZsJOuyf	192.168.56.30	50151	192.168.56.10	8080	tcp	-	0.000361	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833301.815429	C5HSP12LMTGmNNdZp4	192.168.56.30	50143	192.168.56.10	8080	tcp	-	0.000239	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833306.499176	C1I5asr42FTl1Vv68	192.168.56.30	50150	192.168.56.10	8080	tcp	-	0.001643	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833302.060942	CXWkiO64stb5SYGe7	192.168.56.30	50144	192.168.56.10	8080	tcp	-	0.000396	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833306.742475	CV1uw43EataMDYy32	192.168.56.30	50151	192.168.56.10	8080	tcp	-	0.000446	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833307.044811	CXopZW1VXUJEkkSeQ1	192.168.56.30	50150	192.168.56.10	8080	tcp	-	0.000630	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833307.264665	CYC95737PHuBGTSM53	192.168.56.30	50151	192.168.56.10	8080	tcp	-	0.000050	0	0	REJ	T	T	0	Sr	1	52	1	40	-
1770833307.580168	C1iW5V3RgnRq0lev1l	192.168.56.30	50150	192.168.56.10	8080	tcp	-	0.000200	0	0	REJ	T	T	0	Sr	1	52	1	40	-
